name,gender,count
Meshilem,m,43
Messiah,m,1333
Meyer,m,177
Mia,f,12656
Miah,f,193
Micaela,f,12
Micah,m,1378
Michael,m,15177
Michaela,f,279
Michal,f,188
Michelle,f,3462
Miguel,m,2270
Mika,f,11
Mikael,m,10
Mikaela,f,274
Mikayla,f,903
Mike,m,350
Mila,f,2978
Milagros,f,60
Milan,f,744
Milan,m,491
Milana,f,323
Milani,f,101
Milania,f,11
Milena,f,97
Miles,m,2478
Miley,f,282
Millie,f,36
Milo,m,661
Mina,f,246
Mindy,f,741
Mira,f,274
Miracle,f,403
Miranda,f,647
Mirel,f,308
Miri,f,249
Miriam,f,4369
Misael,m,60
Miya,f,25
Mohamed,m,2530
Mohammad,m,1720
Mohammed,m,1797
Moises,m,450
Moishe,m,546
Moishy,m,12
Mollie,f,10
Molly,f,1066
Monica,f,72
Monserrat,f,60
Montserrat,f,125
Mordche,m,81
Mordechai,m,2441
Morgan,f,1286
Morris,m,271
Moses,m,745
Moshe,m,6847
Motty,m,11
Mouhamed,m,177
Moussa,m,393
Muhammad,m,3901
Muhammad ali,m,11
Muntaha,f,10
Musa,m,313
Mushka,f,155
Muslima,f,12
Mustafa,m,122
Mya,f,1462
Myles,m,666
Myra,f,43
Nabiha,f,24
Nachman,m,209
Nadia,f,442
Naftali,m,697
Naftuli,m,390
Nahla,f,228
Nailah,f,22
Nala,f,57
Nalani,f,11
Nana,f,60
Nana,m,60
Nancy,f,60
Naomi,f,3290
Nashla,f,187
Nashley,f,60
Nashly,f,13
Nasir,m,888
Natalia,f,1683
Natalie,f,2919
Nataly,f,168
Natasha,f,315
Nathalia,f,160
Nathalie,f,576
Nathaly,f,459
Nathan,m,6764
Nathanael,m,89
Nathaniel,m,5058
Nava,f,39
Nayeli,f,454
Nayla,f,10
Nazir,m,71
Nechama,f,775
Nehemiah,m,155
Neil,m,172
Nelson,m,557
Nevaeh,f,1858
Neymar,m,287
Nia,f,931
Niam,m,13
Nicholas,m,8558
Nico,m,394
Nicolas,m,2522
Nicole,f,3891
Nicolette,f,166
Nigel,m,60
Nikhil,m,90
Nikita,m,132
Nikolai,m,11
Nikolas,m,151
Nina,f,1865
Noa,f,873
Noach,m,31
Noah,m,14268
Noam,m,492
Noel,m,1028
Noelle,f,127
Noemi,f,244
Nolan,m,983
Noor,f,338
Nora,f,1408
Norah,f,139
Nosson,m,214
Nova,f,278
Nuchem,m,16
Nusrat,f,11
Nyah,f,60
Nyla,f,1466
Nylah,f,1269
Olive,f,433
Oliver,m,5426
Olivia,f,13332
Olympia,f,10
Omar,m,2582
Omari,m,410
Ophelia,f,12
Oren,m,11
Ori,m,66
Orion,m,104
Orlando,m,60
Orly,f,10
Oscar,m,2529
Oskar,m,11
Otis,m,30
Otto,m,145
Oumar,m,325
Oumou,f,387
Ousmane,m,212
Owen,m,3797
Pablo,m,557
Paige,f,1358
Paloma,f,22
Pamela,f,78
Paola,f,138
Paris,f,1002
Parizoda,f,10
Parker,f,221
Parker,m,726
Patrick,m,1759
Paul,m,1191
Paula,f,120
Payton,f,102
Pearl,f,796
Pedro,m,590
Penelope,f,3152
Perel,f,352
Peretz,m,23
Perl,f,300
Perla,f,219
Perry,f,219
Pessy,f,773
Peter,m,1920
Peyton,f,1515
Peyton,m,260
Philip,m,668
Phoebe,f,1034
Phoenix,f,260
Phoenix,m,27
Pierce,m,52
Pinchas,m,415
Pinchus,m,305
Piper,f,423
Polina,f,72
Poppy,f,221
Precious,f,60
Preston,m,1044
Prince,m,1560
Princess,f,240
Princeton,m,127
Priscilla,f,93
Queena,f,95
Queenie,f,419
Quincy,m,182
